No. 1 Month (first day),Year,Measure Date,Song,Weeks at No 1,Earliest Release Date,Elapsed Time,Notes
6,1998,6/1/1998,Brandy and Monica - The Boy Is Mine,13,5/19/1998,13,
6,2015,6/1/2015,Taylor Swift feat. Kendrick Lamar - Bad Blood,1,5/17/2015,15,
7,2005,7/1/2005,Carrie Underwood - Inside Your Heaven,1,6/14/2005,17,
7,2006,7/1/2006,Taylor Hicks - Do I Make You Proud,1,6/13/2006,18,
6,2001,6/1/2001,"Christina Aguilera, Lil' Kim, Mya and Pink - Lady Marmalade",5,5/8/2001,24,
7,2003,7/1/2003,Clay Aiken - This Is The Night,2,6/3/2003,28,
7,1997,7/1/1997,Puff Daddy and Faith Evans feat. 112 - I'll Be Missing You,11,5/27/1997,35,
8,1999,8/1/1999,Christina Aguilera - Genie In A Bottle,5,6/22/1999,40,
7,1998,7/1/1998,Brandy and Monica - The Boy Is Mine,13,5/19/1998,43,
7,2001,7/1/2001,Usher - U Remind Me,4,5/19/2001,43,
8,2010,8/1/2010,Eminem feat. Rihanna - Love the Way You Lie,7,6/18/2010,44,Later released as single
6,1997,6/1/1997,Hanson - MMMBop,3,4/15/1997,47,
7,2010,7/1/2010,Katy Perry feat. Snoop Dogg - California Gurls,6,5/7/2010,55,
6,1995,6/1/1995,Bryan Adams - Have You Ever Really Loved A Woman?,5,4/4/1995,58,
7,1999,7/1/1999,Jennifer Lopez - If You Had My Love,5,5/4/1999,58,
8,2009,8/1/2009,Black Eyed Peas - I Gotta Feeling,14,6/3/2009,59,Later released as single
6,2009,6/1/2009,Black Eyed Peas - Boom Boom Pow,12,3/31/2009,62,
6,2005,6/1/2005,Mariah Carey - We Belong Together,14,3/29/2005,64,
7,2008,7/1/2008,Katy Perry - I Kissed a Girl,7,4/28/2008,64,
8,1997,8/1/1997,Puff Daddy and Faith Evans feat. 112 - I'll Be Missing You,11,5/27/1997,66,
6,2007,6/1/2007,Maroon 5 - Makes Me Wonder,3,3/27/2007,66,
6,1999,6/1/1999,Ricky Martin - Livin' La Vida Loca,5,3/23/1999,70,
6,2010,6/1/2010,Usher feat. will.i.am - OMG,4,3/22/2010,71,
6,2004,6/1/2004,Usher - Burn,8,3/21/2004,72,
8,1998,8/1/1998,Brandy and Monica - The Boy Is Mine,13,5/19/1998,74,
8,2003,8/1/2003,Beyonce feat. Jay-Z - Crazy In Love,8,5/18/2003,75,
7,2002,7/1/2002,Nelly - Hot In Herre,7,4/16/2002,76,
6,2008,6/1/2008,Lil Wayne feat. Static Major - Lollipop,5,3/13/2008,80,
7,1995,7/1/1995,Bryan Adams - Have You Ever Really Loved A Woman?,5,4/4/1995,88,
8,2001,8/1/2001,Destiny's Child - Bootylicious,2,5/1/2001,92,Later released as single
7,2009,7/1/2009,Black Eyed Peas - Boom Boom Pow,12,3/31/2009,92,
8,1996,8/1/1996,Los Del Rio - Macarena (Bayside Boys Mix),14,4/29/1996,94,Original Macarena released in 1992
7,2007,7/1/2007,Rihanna feat. Jay-Z - Umbrella,7,3/29/2007,94,
8,2008,8/1/2008,Katy Perry - I Kissed a Girl,7,4/28/2008,95,
7,2013,7/1/2013,Robin Thicke feat. T.I. and Pharrell - Blurred Lines,12,3/26/2013,97,
8,2006,8/1/2006,Nelly Furtado feat. Timbaland - Promiscuous,6,4/25/2006,98,
7,2004,7/1/2004,Usher - Burn,8,3/21/2004,102,
6,2014,6/1/2014,Iggy Azalea feat. Charli XCX - Fancy,7,2/17/2014,104,
7,2015,7/1/2015,Wiz Khalifa feat. Charlie Puth - See You Again,12,3/17/2015,106,
8,2002,8/1/2002,Nelly - Hot In Herre,7,4/16/2002,107,
6,2003,6/1/2003,50 Cent feat. Nate Dogg - 21 Questions,4,2/6/2003,115,Later released as single
6,2002,6/1/2002,Ashanti - Foolish,10,1/29/2002,123,
8,2005,8/1/2005,Mariah Carey - We Belong Together,14,3/29/2005,125,
8,2013,8/1/2013,Robin Thicke feat. T.I. and Pharrell - Blurred Lines,12,3/26/2013,128,
8,2000,8/1/2000,N Sync - It's Gonna Be Me,2,3/21/2000,133,Later released as single
7,2014,7/1/2014,Iggy Azalea feat. Charli XCX - Fancy,7,2/17/2014,134,
6,2011,6/1/2011,Adele - Rolling In The Deep,7,11/29/2010,184,
8,2011,8/1/2011,LMFAO feat. Lauren Bennett and GoonRock - Party Rock Anthem,6,1/25/2011,188,
6,2006,6/1/2006,Chamillionaire feat. Krayzie Bone - Ridin' Dirty,2,11/22/2005,191,Later released as single
7,2011,7/1/2011,Adele - Rolling In The Deep,7,11/29/2010,214,
7,2000,7/1/2000,Enrique Iglesias - Be With You,3,11/23/1999,221,Later released as single
8,2004,8/1/2004,Juvenile feat. Soulja Slim - Slow Motion,2,12/23/2003,222,Later released as single
7,2012,7/1/2012,Carly Rae Jepsen - Call Me Maybe,9,10/20/2011,255,"Released in U.S. April 17, 2012"
8,1995,8/1/1995,TLC - Waterfalls,7,11/15/1994,259,Later released as single
8,2012,8/1/2012,Carly Rae Jepsen - Call Me Maybe,9,10/20/2011,286,
8,2014,8/1/2014,MAGIC! - Rude,6,10/11/2013,294,Re released 2/24/14
6,2012,6/1/2012,Gotye feat. Kimbra - Somebody That I Used To Know,8,7/5/2011,332,Released in U.S. in January 2012
6,2000,6/1/2000,Santana feat. The Product G&B - Maria Maria,10,6/15/1999,352,Later released as single
6,1996,6/1/1996,Bone Thugs-N-Harmony - Tha Crossroads,8,4/30/1995,398,
7,1996,7/1/1996,Bone Thugs-N-Harmony - Tha Crossroads,8,4/30/1995,428,
8,2015,8/1/2015,OMI - Cheerleader (Felix Jaehn Remix),6,5/19/2014,439,
6,2013,6/1/2013,Macklemore and Ryan Lewis feat. Ray Dalton - Can't Hold Us,5,8/16/2011,655,
8,2007,8/1/2007,Plain White T's - Hey There Delilah,2,1/25/2005,918,Later released as single
